	GSM1525024		GSM1525025		GSM1525026		GSM1525027		GSM1525028		GSM1525029		GSM1525030		GSM1525031		
ID_REF 	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	
ILMN_1221838	90.6341	0.006265664	80.72984	0.01503759	80.49561	0.02506266	71.1647	0.03634085	182.8475	0	176.4948	0.01002506	232.3818	0.07518797	242.6274	0.00877193	
ILMN_1255697	542.8677	0	359.0131	0	399.8576	0	412.8821	0	1068.453	0	1075.729	0	1461.363	0	966.8998	0	
ILMN_2711312	46.4532	0.5137845	39.48063	0.9022557	43.81629	0.9210526	46.33979	0.6165413	53.20235	0.7894737	63.2644	0.5225564	68.88167	0.7969925	102.0381	0.7769424	
ILMN_2983565	58.25727	0.1378446	56.83652	0.1390978	50.25531	0.5426065	54.49046	0.2042606	128.0038	0.02756892	117.1399	0.0689223	425.0511	0.002506266	210.2583	0.04010025	
ILMN_1220589	68.82075	0.04761905	54.56017	0.1729323	69.46817	0.0651629	59.1003	0.1265664	191.2163	0	176.322	0.01002506	318.1393	0.01629073	220.3351	0.02255639	
ILMN_2756686	552.3582	0	522.9767	0	524.8735	0	474.5031	0	1503.702	0	1628.076	0	2374.522	0	1620.138	0	
ILMN_2967362	841.9585	0	690.7247	0	620.9717	0	630.7178	0	1324.194	0	1656.249	0	2093.457	0	1583.213	0	
ILMN_2633457	663.422	0	537.9035	0	469.9649	0	486.927	0	1528.246	0	1499.827	0	1622.82	0	1397.71	0	
ILMN_2679428	813.9121	0	801.1281	0	810.1694	0	852.1752	0	1472.29	0	1953.468	0	2162.879	0	1671.205	0	
ILMN_2661628	45.27841	0.5902256	48.13567	0.3546366	61.57084	0.1553885	53.09016	0.2318296	69.51389	0.302005	65.50873	0.4598998	115.5219	0.3233083	109.3885	0.6679198	
ILMN_2846731	836.5892	0	708.4601	0	863.5151	0	830.6307	0	1968.334	0	2264.623	0	3074.021	0	1901.325	0	
ILMN_2825260	62.32385	0.08897243	63.22277	0.07894737	68.63072	0.07393484	65.83591	0.06390978	105.2993	0.0689223	121.1586	0.05889724	194.1654	0.1240602	182.9238	0.1090226	
ILMN_2679823	143.2865	0	115.9887	0	140.3714	0	131.3405	0	245.669	0	295.4376	0	432.3964	0.001253133	439.8934	0	
ILMN_1222356	464.1622	0	323.4099	0	327.3049	0	358.9404	0	1064.162	0	1047.683	0	1439.087	0	872.3921	0	
ILMN_2590894	75.46915	0.03258145	68.67046	0.04761905	68.11225	0.07769424	70.03112	0.04260652	87.2227	0.1629073	126.4912	0.05263158	152.4563	0.2067669	163.2527	0.179198	
ILMN_2593774	672.5314	0	689.5938	0	619.1511	0	537.9012	0	1161.856	0	1006.064	0	1497.696	0	914.0771	0	
ILMN_3162133	238.1394	0	267.9762	0	254.4268	0	290.7945	0	477.9194	0	500.1982	0	488.9592	0	450.4632	0	
ILMN_2734924	93.80934	0.005012531	128.1953	0	131.2615	0	96.63105	0.001253133	162.7055	0.003759399	293.0189	0	441.9148	0	450.8525	0	
ILMN_2856588	45.34589	0.5802005	51.41323	0.2318296	53.36525	0.3796993	50.19554	0.3295739	53.51517	0.7769424	60.17738	0.6428571	77.29861	0.6528822	101.5373	0.7932331	
ILMN_2963792	756.4373	0	601.3308	0	599.7493	0	636.7286	0	948.5295	0	1481.732	0	1775.313	0	1353.709	0	
ILMN_2699367	81.74384	0.01253133	79.64361	0.02005013	89.92712	0.01002506	76.50035	0.01754386	100.7189	0.0764411	132.1359	0.04260652	202.0686	0.1152882	162.5838	0.1879699	
ILMN_2893564	602.7108	0	827.2115	0	855.1181	0	819.8214	0	1211.198	0	1983.238	0	2732.42	0	1738.713	0	
ILMN_2795854	1415.523	0	1033.453	0	1118.707	0	1065.143	0	1546.204	0	1876.054	0	2711.502	0	1758.989	0	
