gene	UT1	UT2	Ab1	Ab2	L1	L2	LAb1	LAb2
Ankrd13a	27.88877861	31.78694737	28.24446175	21.36165524	12.80367052	13.43095623	12.96165635	13.89914217
Ddx27	21.59375692	22.79358255	27.81891503	17.50019968	13.12455566	13.65785288	13.85164884	13.56949172
Fahd2a	2.652379825	2.411710533	1.883264896	3.572981067	1.71383994	1.473164651	1.84441045	1.41815352
Gtpbp4	10.17876765	11.34222362	15.60772681	16.10184623	27.07736318	26.2139815	25.43160381	29.12172254
Ndufaf4	10.19794713	10.32903057	11.82723657	14.08407115	15.35933515	14.93743386	13.16432597	17.84843656
Idh3b	43.48444655	39.33157118	41.53831859	56.22906388	51.63731625	49.81085066	55.56077175	48.28005133
Atp1b3	161.8049714	145.7760444	170.9756603	188.5887457	182.1971833	177.1772825	178.3170465	189.5049307
Gm16062	0.459461931	0.463677028	0.133458137	0.980391889	0.916093472	1.066213469	1.35932893	0.669261547
Tpx2	52.19326424	61.66704666	80.9207961	64.15338309	23.76601669	24.41655986	21.75957393	27.53971709
Jak2	6.982405513	8.628207648	7.120837985	6.813812227	12.65617983	14.45250178	12.92695827	14.80829083
Trub1	5.01631567	5.202941851	5.652908776	4.977463675	4.269740851	4.752687843	4.388096668	4.841617966
Hotairm1	0.315482251	0.612262462	0.692367794	0.883961326	0.540068586	0.874834776	0.845609708	0.601775731
Hexdc	2.906040776	2.199820841	2.231799823	3.41991707	1.265149894	1.545521614	1.592787513	1.282246904
Txnl4a	44.13830378	38.39565928	36.89913065	45.44467842	25.58442556	28.15842459	30.08562339	24.88555396
Lactb2	15.87573799	19.54147376	18.46831461	14.44387639	17.43323542	17.39924963	15.45836242	20.16931968
Mpzl1	5.500820605	5.711958436	4.386238885	4.893511256	4.921134486	5.627952405	5.417475112	5.370520926
Serbp1	51.81771094	60.96244171	96.58765465	49.96530291	52.10769448	48.92171014	46.33392785	56.98139783
Nanos1	3.238083692	3.017841537	2.369982755	2.834543756	0.431077867	0.460576112	0.378867951	0.532955733
Fbxl14	31.55236572	32.18918177	26.37460686	21.58770722	9.813946087	10.6824624	10.48672563	10.47179257
Ywhag	102.7399816	98.34957461	73.00185321	71.71816226	59.19649893	62.35751122	62.31084725	61.97767825
Rab32	7.342669172	8.496374125	6.692877063	6.816236627	3.626614272	2.939180538	3.181259752	3.532129696
Sptlc2	9.709713017	9.594626846	9.190228262	10.7487041	12.7342637	11.94366828	12.54696101	12.68443557
Ftl1	430.5423683	337.5447121	308.123804	550.0467745	951.1543078	851.518161	974.9167324	868.0955133
Gm10288	1.070537743	0.831045262	1.321558638	2.595789597	2.546823597	1.874911343	2.7104018	1.809979485
Cdk5rap3	14.35971608	12.0070044	12.32549612	17.45166302	11.1305182	11.11782279	12.55705472	10.18423
Cbr1	9.981315727	9.594003083	8.810076391	9.824159063	6.170897449	5.414308907	6.089443148	5.752362515
C920021L13Rik	0.802133411	0.795502303	0.537833141	0.747144731	0.288224459	0.448680824	0.312021233	0.441184553
Alg1	11.05896772	9.775704402	8.451870964	10.78457664	14.32065994	14.50575677	15.71962189	13.74335395
Pacsin1	1.935535315	1.925720529	1.669828208	1.375246345	0.109790819	0.212166692	0.182961748	0.146094631
H2-T23	24.37613329	21.55375324	19.35561513	31.98966999	62.83219596	59.65948909	68.6699952	56.5209793
Parp2	13.66683951	14.73399527	15.76395152	16.1515191	9.913392517	10.09463791	9.786119196	10.65952388
Smc1a	24.70376834	32.91047817	53.48645866	39.37895836	15.31909695	17.4796422	15.87753175	17.63852123
Ccdc66	2.440718395	3.100136577	5.514281981	3.313385621	3.222376136	4.13514408	3.399786958	4.117768129
Hs6st1	20.33133138	22.06896963	17.32876124	12.82137157	7.247637991	7.448560633	7.760812359	7.25468372
Zfyve21	4.091030836	3.437440196	2.305911804	5.075637759	2.969524648	4.016947479	3.826390789	3.311681308
Gm7592	1.895293357	1.706073664	1.382152978	2.170696276	2.649623476	3.407647419	3.377210067	2.811070184
Ippk	5.061128669	5.201956717	4.428622214	5.233402787	3.420762082	4.08678449	3.672913131	3.996758235
Tmem19	7.13710035	6.090692564	4.407437719	6.642546117	3.291738562	3.488793893	3.600054988	3.326327447
Rad51ap1	9.226965474	9.927056235	10.51665646	11.02002482	4.12026635	4.049771249	4.104582874	4.240834957
Farsb	43.239331	45.29249212	61.39168021	61.88264563	91.39378547	86.42215313	91.29399959	90.32569501
Fiz1	9.578148561	9.421364997	9.573387613	8.659178616	6.770686557	7.477222904	7.293307332	7.259321743
